# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

p 2 947 5399 1814 59505 13556
p 2 34 2628 5498 9593 4316
p 2 48 1952 6160 8361 3629
p 2 946 5472 1742 59848 13566
p 2 959 5403 1798 59383 13626
p 2 35 2739 5386 10004 4471
p 2 48 1941 6171 8700 3713
p 2 952 5475 1733 59888 13593
p 2 950 5441 1769 59476 13606
p 2 34 2507 5619 9132 4197
p 2 50 1712 6398 7925 3376
p 2 947 5445 1768 59581 13531
p 2 950 5396 1814 58999 13602
p 2 36 2573 5551 9661 4332
p 2 48 2661 5451 11078 4466
p 2 950 5495 1715 60031 13627
p 2 952 5656 1552 63090 13915
p 2 32 2927 5201 9662 4492
p 2 47 1621 6492 7785 3275
p 2 937 5559 1664 61097 13725
p 2 944 5521 1695 60676 13706
p 2 34 2606 5520 9246 4323
p 2 50 1612 6498 8015 3354
p 2 925 5563 1672 62400 13791
p 2 952 5474 1734 60995 13775
p 2 33 2264 5863 8164 3881
p 2 47 1552 6561 7581 3252
p 2 920 5504 1736 61285 13718
p 2 939 5445 1776 60626 13664
p 2 34 2194 5932 8210 3892
p 2 47 1511 6602 7708 3281
p 2 949 5501 1710 61092 13741
p 2 943 5482 1735 60939 13716
p 2 31 2106 6023 7785 3725
p 2 49 1435 6676 7486 3148
p 2 926 5436 1798 60277 13562
p 2 940 5406 1814 60133 13666
p 2 36 2129 5995 8245 3876
p 2 49 1513 6598 7566 3245
i 2 8160 0 0 50734 24344
p 2 5843 1613 704 71099 24073
p 2 5399 2058 703 80142 23574
p 2 4989 3165 6 88147 24182
p 2 4538 3005 617 91763 23620
p 2 3543 3953 664 99135 23343
p 2 2681 4829 650 106284 22722
p 2 1388 6698 74 82510 21386
p 2 1456 6629 75 91431 22612
p 2 1231 6861 68 93764 22298
p 2 1253 6852 55 95501 22288
p 2 1471 6611 78 97736 22724
p 2 1303 6804 53 98789 22442
p 2 1394 6690 76 99481 22510
p 2 1577 6518 65 102984 22991
p 2 1466 6612 82 98961 22433
p 2 1472 6604 84 99931 22640
p 2 1727 6340 93 102251 23046
p 2 1655 6431 74 104162 23045
p 2 1775 6317 68 103156 23227
p 2 2019 6041 100 102316 23794
p 2 1956 6150 54 103300 23585
p 2 2119 5970 71 104445 24127
p 2 2175 5934 51 106925 24459
p 2 4 7065 1091 38388 11814
p 2 1 7109 1050 35909 11172
p 2 1 7013 1146 38458 10821
p 2 0 7154 1006 35138 10422
p 2 0 7079 1081 37074 10314
p 2 2 7208 950 35752 10429
p 2 2 7114 1044 39386 10571
p 2 0 7244 916 36174 10379
p 2 1 7179 980 38652 10509
p 2 1 7271 888 37267 10552
p 2 3 7225 932 40866 10776
p 2 1 7353 806 38295 10614
p 2 3 7219 938 40629 10706
p 2 1 7303 856 40262 10755
p 2 2 7297 861 42731 10952
p 2 1 7336 823 39132 10725
p 2 0 7221 939 41155 10781
p 2 3 7293 864 40961 10784
p 2 3 7225 932 44273 11013
p 2 3 7331 826 41173 10847
p 2 5 7254 901 43021 10998
p 2 1 7272 887 42362 10980
p 2 4 7251 905 45448 11224
p 2 1 7373 786 42478 11011
p 2 5 7301 854 44822 11151
p 2 1 7326 833 43516 11070
p 2 5 7275 880 46767 11274
p 2 1 7411 748 43257 11147
p 2 3 7397 760 45511 11283
p 2 6 7411 743 44478 11305
p 2 5 7372 783 47441 11522
p 2 7 7413 740 44457 11312
p 2 6 7348 806 47202 11370
p 2 5 7406 749 45467 11344
p 2 4 7381 775 48535 11692
p 2 3 7467 690 43865 11430
p 2 5 7439 716 46103 11586
p 2 2 7466 692 44886 11465
p 2 3 7444 713 47975 11674
p 2 3 7456 701 44663 11447
p 2 8 7459 693 47532 11655
p 2 12 7474 674 46419 11655
p 2 13 7483 664 49222 11924
p 2 4 7496 660 46241 11622
p 2 5 7496 659 48205 11657
p 2 2 7519 639 47258 11659
p 2 7 7494 659 51790 12024
p 2 13 7561 586 48282 11792
p 2 5 7539 616 49956 11871
p 2 2 7519 639 48158 11762
p 2 11 7558 591 52930 12097
p 2 11 7579 570 49702 11858
p 2 10 7567 583 53386 12152
p 2 14 7497 649 52017 11980
p 2 18 7519 623 56160 12269
p 2 1010 7030 120 90263 19061
p 2 924 7090 146 97901 19366
p 2 795 7252 113 95214 19026
p 2 828 7235 97 100717 19394
p 2 760 7267 133 95575 18814
p 2 762 7284 114 100500 19057
p 2 786 7215 159 97712 18848
p 2 774 7263 123 102796 19167
p 2 781 7217 162 95694 18761
p 2 748 7277 135 99525 18940
p 2 688 7313 159 93587 18318
p 2 708 7347 105 98743 18668
