# XviD 2pass stat file (core version 1.3.7)
# Please do not modify this file

p 2 0 510 410 1985 729
p 2 0 329 591 6464 593
p 2 0 650 270 30001 1231
p 2 0 491 429 1956 711
p 2 0 350 570 6277 601
p 2 1 633 286 31830 1262
p 2 0 487 433 2007 708
p 2 0 395 525 7738 675
p 2 0 647 273 29811 1218
p 2 0 512 408 1968 724
p 2 0 328 592 7121 597
p 2 1 643 276 28717 1200
p 2 0 485 435 1894 689
p 2 0 300 620 7947 588
p 2 1 650 269 31877 1272
p 2 0 489 431 1840 699
p 2 0 330 590 7612 619
p 2 0 641 279 30245 1223
i 2 920 0 0 36420 3983
p 2 1 765 154 10688 1450
p 2 0 710 210 9665 1347
p 2 12 790 118 28910 1888
p 2 0 755 165 10722 1412
p 2 0 723 197 10441 1355
p 2 9 760 151 27960 1800
p 2 2 794 124 11237 1490
p 2 4 714 202 10096 1411
p 2 5 770 145 25522 1754
p 2 3 735 182 9765 1399
p 2 2 704 214 8636 1310
p 2 3 765 152 24150 1693
p 2 1 719 200 8185 1355
p 2 1 698 221 7507 1293
p 2 5 729 186 25155 1573
p 2 0 716 204 9247 1301
p 2 0 648 272 7915 1187
p 2 2 748 170 26668 1578
p 2 0 638 282 9416 1210
p 2 1 667 252 8381 1244
p 2 14 670 236 26037 1682
p 2 0 678 242 9100 1318
p 2 0 629 291 7730 1230
p 2 3 705 212 25778 1646
p 2 0 701 219 8762 1331
p 2 0 645 275 7419 1246
p 2 4 710 206 25053 1677
p 2 0 731 189 7577 1336
p 2 3 652 265 7050 1248
p 2 5 730 185 23424 1655
p 2 1 646 273 8376 1279
p 2 0 671 249 7888 1273
p 2 4 676 240 24931 1508
p 2 0 684 236 8994 1275
p 2 0 571 349 7848 1140
p 2 5 755 160 25804 1634
p 2 0 681 239 8336 1267
p 2 0 680 240 8040 1268
p 2 11 718 191 26583 1763
p 2 0 728 192 9453 1344
p 2 0 650 270 8244 1260
p 2 6 750 164 26620 1782
p 2 0 698 222 10353 1388
p 2 0 698 222 8851 1346
p 2 8 737 175 25341 1785
p 2 1 752 167 10113 1464
p 2 1 723 196 8731 1362
p 2 2 751 167 25518 1696
p 2 1 740 179 9483 1432
p 2 0 730 190 8963 1368
p 2 6 737 177 27822 1658
p 2 1 756 163 11210 1394
p 2 0 680 240 10451 1272
p 2 5 791 124 29196 1698
p 2 1 719 200 11197 1398
p 2 0 703 217 10645 1366
p 2 14 711 195 28420 1772
p 2 1 747 172 10907 1404
i 2 920 0 0 79990 4931
p 2 0 88 832 322 276
p 2 3 41 876 888 254
p 2 9 893 18 69154 2166
p 2 8 681 231 4900 1000
p 2 0 309 611 1028 494
p 2 13 896 11 70758 2176
p 2 0 686 234 2943 944
p 2 18 392 510 5560 733
p 2 7 879 34 67277 2126
p 2 22 684 214 8309 1156
p 2 0 357 563 1365 552
p 2 40 859 21 71872 2332
p 2 0 664 256 3023 935
p 2 45 277 598 9923 839
p 2 14 849 57 64963 2099
p 2 30 697 193 11744 1284
p 2 0 340 580 1285 542
p 2 59 839 22 69370 2447
p 2 0 637 283 2788 898
p 2 44 317 559 14423 903
p 2 10 873 37 64551 2113
p 2 26 677 217 13385 1224
p 2 0 347 573 1264 542
p 2 39 860 21 70000 2293
p 2 0 689 231 3054 965
p 2 29 329 562 11259 763
p 2 7 889 24 69745 2156
p 2 22 691 207 9170 1156
p 2 0 307 613 1085 499
p 2 22 880 18 72510 2231
p 2 0 694 226 3086 967
p 2 27 338 555 10077 771
p 2 6 886 28 67306 2134
p 2 27 684 209 13319 1226
p 2 0 342 578 1298 540
p 2 39 861 20 73188 2331
p 2 0 671 249 3058 941
p 2 26 332 562 13330 798
p 2 14 873 33 67803 2160
p 2 27 697 196 16069 1251
p 2 0 346 574 1285 545
p 2 39 860 21 71180 2372
p 2 0 659 261 2844 914
p 2 30 302 588 12648 809
p 2 5 883 32 65828 2116
p 2 45 676 199 16298 1328
p 2 0 338 582 1320 545
p 2 45 849 26 71523 2354
p 2 0 672 248 2921 950
p 2 19 294 607 6401 649
p 2 9 883 28 68536 2141
p 2 17 706 197 9393 1162
p 2 0 318 602 1164 511
p 2 27 878 15 72404 2247
p 2 0 691 229 3181 970
p 2 27 293 600 10353 745
p 2 6 885 29 66598 2107
p 2 22 711 187 12959 1214
p 2 0 334 586 1212 525
p 2 38 863 19 72291 2314
p 2 0 660 260 2918 926
p 2 10 311 599 6228 618
p 2 17 865 38 68552 2191
p 2 7 688 225 6577 1056
i 2 920 0 0 59427 4462
p 2 0 113 807 373 303
p 2 3 82 835 1677 291
p 2 3 846 71 41803 1803
